file_name,category,confidence,file_size,file_path,notes
Important Information .pdf,leases,0.0,0,,
ACCOUNTS - YE 31.03.21 - Service Charge Accounts (1).pdf,other,0.0,0,,
Official Copy (Lease) 04.08.2022 - NGL809841 (1).pdf,leases,0.0,0,,
Official Copy (Lease) 04.08.2022 - NGL809841 (2).pdf,leases,0.0,0,,
Official Copy (Lease) 13.06.2003 - NGL827422.pdf,leases,0.0,0,,
Official Copy (Lease) 04.08.2022 - NGL809841.pdf,leases,0.0,0,,
Signed April 2025 Arrears Collection Procedure.pdf,leases,0.0,0,,
WP0005V17 Welcome Pack.pdf,leases,0.0,0,,
Jobcard_For_Job_No_33844_07-04-2025_1143.pdf,leases,0.0,0,,
Jobcard_For_Job_No_37675_25-07-2025_1549.pdf,leases,0.0,0,,
Jobcard_For_Job_No_34012_01-05-2025_1616.pdf,leases,0.0,0,,
Jobcard_For_Job_No_32759_17-03-2025_1145.pdf,leases,0.0,0,,
Jobcard_For_Job_No_32810_17-03-2025_1311.pdf,leases,0.0,0,,
Quote_No_23550 - Connaught Square (32-34) 2023-2024.pdf,other,0.0,0,,
Licence_Document_352024.pdf,leases,0.0,0,,
JLGServiceVisit-M00813-12-09-2024.pdf,leases,0.0,0,,
JLGServiceVisit-M00813-13-11-2024.pdf,leases,0.0,0,,
JLGServiceVisit-M00813-02-12-2024.pdf,leases,0.0,0,,
JLGServiceVisit-M00813-08-07-2024.pdf,leases,0.0,0,,
JLGServiceVisit-M00813-08-10-2024.pdf,leases,0.0,0,,
JLGServiceVisit-M00813-12-02-2025.pdf,leases,0.0,0,,
JLGServiceVisit-M00813-17-03-2025.pdf,leases,0.0,0,,
JLGServiceVisit-M00813-14-04-2025.pdf,leases,0.0,0,,
REP-40343473-L1.pdf,leases,0.0,0,,
JLGServiceVisit-M00813-13-05-2025.pdf,leases,0.0,0,,
Communal Cleaning-First Port.pdf,leases,0.0,0,,
SC Health and Safety Product - Accredited 10072023.pdf,leases,0.0,0,,
Tenancy Schedule by Property.pdf,leases,0.0,0,,
Accounts YE 31.03.2022 32-34 Connaught Square MJP.pdf,other,0.0,0,,
197-YE 31.03.22 SC Accs FINAL MAY 2023.pdf,other,0.0,0,,
ACCOUNTS - YE 31.03.21 - Service Charge Accounts (1).pdf,other,0.0,0,,
27039 Accounts Pack - YE 2023.pdf,other,0.0,0,,
Connaught Sq SC YE 23.pdf,other,0.0,0,,
Connaught Square-House Rules.docx,leases,0.0,0,,
Garden Notice-Connaught Square.docx,other,0.0,0,,
Connaught Square-Key Cut Authorisation Letter.docx,other,0.0,0,,
House Rules-Connaught Square.pdf,leases,0.0,0,,
REP-39659654.pdf,leases,0.0,0,,
Important Information .pdf,leases,0.0,0,,
StG_Certificate_32-34 Connaught Square W2 2HL.pdf,leases,0.0,0,,
CM434.AnnualServiceAgreement2025-2026.pdf,other,0.0,0,,
CM434.AnnualServiceAgreement2024-2025.pdf,other,0.0,0,,
REP-40324834-E3.pdf,leases,0.0,0,,
Ellie@mihproperty.co.uk - BES Group - E-Report.pdf,leases,0.0,0,,
Jobcard_For_Job_No_38609_26-08-2025_0741.pdf,leases,0.0,0,,
Jobcard_For_Job_No_28737_25-11-2024_0907.pdf,leases,0.0,0,,
Jobcard_For_Job_No_35402_03-06-2025_0916.pdf,leases,0.0,0,,
Jobcard_For_Job_No_35654_03-06-2025_0911.pdf,leases,0.0,0,,
Jobcard_For_Job_No_37675_25-07-2025_1549.pdf,leases,0.0,0,,
Jobcard_For_Job_No_35146_03-06-2025_0906.pdf,leases,0.0,0,,
Jobcard_For_Job_No_31162_30-01-2025_1602.pdf,leases,0.0,0,,
Jobcard_For_Job_No_36465_20-06-2025_1037.pdf,leases,0.0,0,,
