      table_name      |         column_name         |        data_type         | is_nullable |        column_default        
 buildings            | building_manager_name       | character varying        | YES         | 
 buildings            | building_manager_email      | character varying        | YES         | 
 buildings            | building_manager_phone      | character varying        | YES         | 
 buildings            | emergency_contact_name      | character varying        | YES         | 
 buildings            | emergency_contact_phone     | character varying        | YES         | 
 buildings            | building_age                | character varying        | YES         | 
 buildings            | construction_type           | character varying        | YES         | 
 buildings            | total_floors                | character varying        | YES         | 
 buildings            | lift_available              | character varying        | YES         | 
 buildings            | heating_type                | character varying        | YES         | 
 buildings            | hot_water_type              | character varying        | YES         | 
 buildings            | waste_collection_day        | character varying        | YES         | 
 buildings            | recycling_info              | text                     | YES         | 
 buildings            | building_insurance_provider | character varying        | YES         | 
 buildings            | building_insurance_expiry   | date                     | YES         | 
 buildings            | fire_safety_status          | character varying        | YES         | 
 buildings            | asbestos_status             | character varying        | YES         | 
 buildings            | energy_rating               | character varying        | YES         | 
 buildings            | service_charge_frequency    | character varying        | YES         | 
 buildings            | ground_rent_amount          | numeric                  | YES         | 
 buildings            | ground_rent_frequency       | character varying        | YES         | 
 buildings            | created_at                  | timestamp with time zone | YES         | now()
 buildings            | updated_at                  | timestamp with time zone | YES         | now()
 buildings            | notes                       | text                     | YES         | 
 buildings            | key_access_notes            | text                     | YES         | 
 buildings            | entry_code                  | character varying        | YES         | 
 buildings            | fire_panel_location         | character varying        | YES         | 
 buildings            | is_hrb                      | boolean                  | YES         | false
 buildings            | agency_id                   | uuid                     | YES         | 
 buildings            | building_type               | character varying        | YES         | 
 buildings            | created_by                  | uuid                     | YES         | 
 buildings            | structure_type              | character varying        | YES         | 
 buildings            | client_type                 | character varying        | YES         | 
 buildings            | client_name                 | character varying        | YES         | 
 buildings            | client_contact              | character varying        | YES         | 
 buildings            | client_email                | character varying        | YES         | 
 buildings            | operational_notes           | text                     | YES         | 
 compliance_assets    | id                          | uuid                     | NO          | gen_random_uuid()
 compliance_assets    | building_id                 | uuid                     | YES         | 
 compliance_assets    | user_id                     | uuid                     | YES         | 
 compliance_assets    | asset_name                  | character varying        | NO          | 
 compliance_assets    | asset_type                  | character varying        | NO          | 
 compliance_assets    | category                    | character varying        | YES         | 
 compliance_assets    | description                 | text                     | YES         | 
 compliance_assets    | is_required                 | boolean                  | YES         | false
 compliance_assets    | is_active                   | boolean                  | YES         | true
 compliance_assets    | inspection_frequency        | character varying        | NO          | 
 compliance_assets    | frequency_months            | integer                  | YES         | 
 compliance_assets    | status                      | character varying        | YES         | 'pending'::character varying
 compliance_assets    | last_inspection_date        | date                     | YES         | 
 compliance_assets    | next_due_date               | date                     | YES         | 
 compliance_assets    | certificate_expiry          | date                     | YES         | 
 compliance_assets    | inspector_name              | character varying        | YES         | 
 compliance_assets    | inspector_company           | character varying        | YES         | 
 compliance_assets    | inspector_contact           | character varying        | YES         | 
 compliance_assets    | certificate_url             | text                     | YES         | 
 compliance_assets    | notes                       | text                     | YES         | 
 compliance_assets    | compliance_reference        | character varying        | YES         | 
 compliance_assets    | custom_asset                | boolean                  | YES         | false
 compliance_assets    | created_at                  | timestamp with time zone | YES         | now()
 compliance_assets    | updated_at                  | timestamp with time zone | YES         | now()
 compliance_assets    | compliance_status           | character varying        | YES         | 'unknown'::character varying
 compliance_assets    | location                    | character varying        | YES         | 
 compliance_assets    | responsible_party           | character varying        | YES         | 
 leaseholders         | id                          | uuid                     | NO          | gen_random_uuid()
 leaseholders         | unit_id                     | uuid                     | YES         | 
 leaseholders         | name                        | character varying        | YES         | 
 leaseholders         | email                       | character varying        | YES         | 
 leaseholders         | phone                       | character varying        | YES         | 
 leaseholders         | created_at                  | timestamp with time zone | YES         | now()
 leaseholders         | full_name                   | text                     | YES         | 
 leaseholders         | phone_number                | text                     | YES         | 
 leaseholders         | correspondence_address      | text                     | YES         | 
 leaseholders         | is_director                 | boolean                  | YES         | false
 leaseholders         | director_since              | date                     | YES         | 
 leaseholders         | director_notes              | text                     | YES         | 
 leaseholders         | updated_at                  | timestamp with time zone | YES         | now()
 leaseholders         | building_id                 | uuid                     | YES         | 
 leaseholders         | unit_number                 | character varying        | YES         | 
 leases               | id                          | uuid                     | NO          | gen_random_uuid()
 leases               | building_id                 | uuid                     | NO          | 
 leases               | unit_number                 | text                     | NO          | 
 leases               | leaseholder_name            | text                     | NO          | 
 leases               | start_date                  | date                     | NO          | 
 leases               | end_date                    | date                     | NO          | 
 leases               | status                      | text                     | YES         | 'active'::text
 leases               | ground_rent                 | text                     | NO          | 
 leases               | service_charge_percentage   | numeric                  | NO          | 
 leases               | responsibilities            | ARRAY                    | YES         | '{}'::text[]
 leases               | restrictions                | ARRAY                    | YES         | '{}'::text[]
 leases               | rights                      | ARRAY                    | YES         | '{}'::text[]
 leases               | file_path                   | text                     | NO          | 
 leases               | ocr_text                    | text                     | YES         | 
 leases               | metadata                    | jsonb                    | YES         | 
 leases               | created_at                  | timestamp with time zone | YES         | now()
 leases               | updated_at                  | timestamp with time zone | YES         | now()
 leases               | unit_id                     | uuid                     | YES         | 
 leases               | scope                       | text                     | NO          | 'unit'::text
 leases               | title_number                | text                     | YES         | 
 leases               | plot_number                 | text                     | YES         | 
 leases               | deed_date                   | date                     | YES         | 
 leases               | head_lease_reference        | text                     | YES         | 
 leases               | is_underlease               | boolean                  | YES         | false
 leases               | property_address            | text                     | YES         | 
 leases               | floor_description           | text                     | YES         | 
 leases               | expiry_date                 | date                     | YES         | 
 major_works_projects | id                          | uuid                     | NO          | gen_random_uuid()
 major_works_projects | building_id                 | uuid                     | YES         | 
 major_works_projects | name                        | text                     | YES         | 
 major_works_projects | description                 | text                     | YES         | 
 major_works_projects | status                      | text                     | NO          | 'notice_of_intention'::text
 major_works_projects | notice_of_intention_date    | date                     | YES         | 
 major_works_projects | statement_of_estimates_date | date                     | YES         | 
 major_works_projects | contractor_appointed_date   | date                     | YES         | 
 major_works_projects | expected_completion_date    | date                     | YES         | 
 major_works_projects | actual_completion_date      | date                     | YES         | 
 major_works_projects | estimated_cost              | numeric                  | YES         | 
 major_works_projects | actual_cost                 | numeric                  | YES         | 
 major_works_projects | contractor_name             | text                     | YES         | 
 major_works_projects | contractor_contact          | text                     | YES         | 
 major_works_projects | notes                       | text                     | YES         | 
 major_works_projects | created_at                  | timestamp with time zone | YES         | now()
 major_works_projects | updated_at                  | timestamp with time zone | YES         | now()
 major_works_projects | title                       | text                     | YES         | 
 major_works_projects | created_by                  | uuid                     | YES         | 
 major_works_projects | project_type                | text                     | YES         | 'general'::text
 major_works_projects | priority                    | text                     | YES         | 'medium'::text
 major_works_projects | start_date                  | date                     | YES         | 
 major_works_projects | expected_duration           | integer                  | YES         | 
 major_works_projects | completion_percentage       | integer                  | YES         | 0
 major_works_projects | is_active                   | boolean                  | YES         | true
 major_works_projects | budget_allocated            | numeric                  | YES         | 0
 major_works_projects | attachments                 | jsonb                    | YES         | '[]'::jsonb
 major_works_projects | stakeholders                | jsonb                    | YES         | '[]'::jsonb
 major_works_projects | milestones                  | jsonb                    | YES         | '[]'::jsonb
 major_works_projects | user_id                     | uuid                     | YES         | 
 major_works_projects | project_name                | text                     | YES         | 
 schedules            | id                          | uuid                     | NO          | gen_random_uuid()
 schedules            | building_id                 | uuid                     | NO          | 
 schedules            | name                        | text                     | NO          | 
 schedules            | description                 | text                     | YES         | 
 schedules            | created_at                  | timestamp with time zone | YES         | now()
 schedules            | updated_at                  | timestamp with time zone | YES         | now()
 timeline_events      | id                          | uuid                     | NO          | gen_random_uuid()
 timeline_events      | building_id                 | uuid                     | YES         | 
 timeline_events      | event_type                  | text                     | NO          | 
 timeline_events      | event_date                  | timestamp with time zone | YES         | now()
 timeline_events      | description                 | text                     | YES         | 
 timeline_events      | metadata                    | jsonb                    | YES         | 
 timeline_events      | severity                    | text                     | YES         | 'info'::text
 timeline_events      | created_at                  | timestamp with time zone | YES         | now()
 units                | id                          | uuid                     | NO          | gen_random_uuid()
 units                | building_id                 | uuid                     | YES         | 
 units                | unit_number                 | character varying        | NO          | 
 units                | type                        | character varying        | YES         | 
 units                | floor                       | character varying        | YES         | 
 units                | leaseholder_email           | character varying        | YES         | 
 units                | created_at                  | timestamp with time zone | YES         | now()
 units                | leaseholder_id              | uuid                     | YES         | 
 units                | apportionment_percent       | numeric                  | YES         | 
(283 rows)

